IP address,Protocol version,User agent,Connected since,Services,Height,Hostname,City,Country code,Latitude,Longitude,Timezone,ASN,Organization name,Coordinates
"qp6ro3mnogsi7manj3gdt5xhic43n45fumvg527z5uvtoy3vyp7re6yd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T14:58:45.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"185.25.48.184:8333",70016,"/Satoshi:22.0.0/","2022-10-25T09:50:25.000Z",1037,760762,"185-25-48-184.bacloud.com",,"LT",55.4167,24,"Europe/Vilnius","AS61272","Informacines sistemos ir technologijos, UAB","55.4167, 24"
"ujvv3efcq3ckfisyrkasw6blhwpa7yjlud44fy7cvxxd2ug7jet7styd.onion:8333",70016,"/Satoshi:22.0.0/","2022-10-29T02:36:15.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"nnsjzrqnb2to24hrixuevoj4ypur63rclrr4la5lkgb5nqkpzvdjlfid.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T13:05:30.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"3.138.188.154:8333",70016,"/Satoshi:23.0.0/","2022-10-26T19:03:48.000Z",1033,760762,"ec2-3-138-188-154.us-east-2.compute.amazonaws.com","Columbus","US",39.9625,-83.0061,"America/New_York","AS16509","AMAZON-02","39.9625, -83.0061"
"[2a02:810b:10a0:269c:fd89:4467:377:6775]:8333",70016,"/Satoshi:23.0.0/","2022-10-28T09:19:52.000Z",1033,760762,"2a02:810b:10a0:269c:fd89:4467:377:6775","Neuwied","DE",50.4305,7.4498,"Europe/Berlin","AS3209","Vodafone GmbH","50.4305, 7.4498"
"7plwa6q6pg42rw3iynoswlywgktp6w56gafuhj2ao2idqjtxh4oevtid.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-22T20:49:27.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"rdafmvqb3bkrzfj63phcibglwifqowwnutwerzonm2fvaiuh2adeuxqd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-29T02:11:42.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"78.47.147.220:8333",70015,"/Satoshi:0.20.0/","2022-09-21T21:56:07.000Z",1032,760762,"static.220.147.47.78.clients.your-server.de","Loffingen","DE",47.882,8.3509,"Europe/Berlin","AS24940","Hetzner Online GmbH","47.882, 8.3509"
"73.155.239.102:8333",70016,"/Satoshi:22.0.0(FutureBit-Apollo-Node)/","2022-10-28T23:16:37.000Z",1033,760762,"c-73-155-239-102.hsd1.tx.comcast.net","League City","US",29.5183,-95.0977,"America/Chicago","AS7922","COMCAST-7922","29.5183, -95.0977"
