enode,id,name,caps/0,caps/1,network/localAddress,network/remoteAddress,network/inbound,network/trusted,network/static,protocols/eth/difficulty,protocols/eth/forkId/hash,protocols/eth/forkId/next,protocols/eth/head,protocols/eth/version,protocols/snap/version,ip_info/ip,ip_info/hostname,ip_info/city,ip_info/region,ip_info/country,ip_info/country_name,ip_info/loc,ip_info/org,ip_info/postal,ip_info/timezone,contact/first/unix,contact/first/rfc3339,contact/last/unix,contact/last/rfc3339,contact/refresh/unix,contact/refresh/rfc3339,enr,caps/2,caps/3,caps/4
enode://79d8338e144721286fcc0a7e09b3cda74a2b7b39f43d258c9b276050c5ca92ab1a0b9a3da6c2566907ef27add7e8bd1166fa2e7480dd50a7a6b92aca4e0c3cc3@139.162.162.17:35006,2fcd10fec5c501e04f1fa780b688e267853ba6c72c74c7d10cfc1bf00f82114f,CoreGeth/v1.12.9-unstable-550af1e1-20221005/linux-amd64/go1.18.7,eth/66,snap/1,159.203.56.33:30369,139.162.162.17:35006,true,false,false,2.871944435618879e+21,0x7fd1bb25,0,0x4d7defa220301e7a804a8e05b144e61af6f88a3f5e929b81be54f124fbfa80b4,66,1,139.162.162.17,139-162-162-17.ip.linodeusercontent.com,Frankfurt am Main,Hesse,DE,Germany,"50.1025,8.6299","AS63949 Linode, LLC",60326,Europe/Berlin,1666882878,2022-10-27T15:01:18Z,1667077262,2022-10-29T21:01:02Z,1667077262,2022-10-29T21:01:02Z,,,,
enode://e9f02ed0d49ee407f104df47b3dc0d1b03b6c5b85181d0fa3c27d191c3e93f7bb1b95fdf7757730ce339dd72113440fbdab1af1b5f6ac14dce1cd760b8891bf5@135.181.136.95:43748,9f7726e95fa9884f6fbcb73f433718eee8d693ccdc418d064895497f87a26653,CoreGeth/v1.12.6-stable-20d20d72/linux-amd64/go1.17.6,eth/66,snap/1,159.203.56.33:30369,135.181.136.95:43748,true,false,false,2.871944435618879e+21,0x7fd1bb25,0,0x4d7defa220301e7a804a8e05b144e61af6f88a3f5e929b81be54f124fbfa80b4,66,1,135.181.136.95,static.95.136.181.135.clients.your-server.de,Tuusula,Uusimaa,FI,Finland,"60.3540,24.9794",AS24940 Hetzner Online GmbH,04360,Europe/Helsinki,1666738882,2022-10-25T23:01:22Z,1667077263,2022-10-29T21:01:03Z,1667005278,2022-10-29T01:01:18Z,,,,
enode://52b445f9357511c421f515257dc38f5569f86336a8e13efe0d9f66690e889a36e5436c7a38bba515c0be9670f163b1e9853ac18a9f2f24aeaeeabca910cccda4@188.120.197.19:48432,e776249a643f7060d7ccfe6a8b57575973a0104faee5048a2df56db25612e81b,CoreGeth/v1.12.8-stable-654bc751/linux-amd64/go1.18.3,eth/66,snap/1,159.203.56.33:30369,188.120.197.19:48432,true,false,false,2.871948311658363e+21,0x7fd1bb25,0,0x1241227e8e9f421fa4cf472a18053330734bedd2778eeceba2088f165005559c,66,1,188.120.197.19,188-120-197-19.luckynet.cz,České Budějovice,Jihočeský kraj,CZ,Czech Republic,"48.9745,14.4743",AS49985 IP4ISP z.s.p.o,370 01,Europe/Prague,1666857677,2022-10-27T08:01:17Z,1667077263,2022-10-29T21:01:03Z,1667077263,2022-10-29T21:01:03Z,,,,
enode://76c65ef09d6c4f421fa89fdc783e80a1e2cfa13524b7eb319e6afcd6506aa6968eca5f18571a11ccd51b1ae500edba77a790c0a5de0879e6ce7979c701c4679e@116.202.100.25:39450,ec486eec349cc24d801bfbc87b49fcb19c83e640e24c2b3a408d4bd5e764cfe1,CoreGeth/v1.12.7-stable-a374c2e8/linux-amd64/go1.18.2,eth/66,snap/1,159.203.56.33:30369,116.202.100.25:39450,true,false,false,2.8719502496781047e+21,0x7fd1bb25,0,0xabb68900af981fb38d8761f2c09f61242d7460c65356d384f2d172e3dc0dd819,66,1,116.202.100.25,static.25.100.202.116.clients.your-server.de,Frankfurt am Main,Hesse,DE,Germany,"50.1155,8.6842",AS24940 Hetzner Online GmbH,60311,Europe/Berlin,1666584081,2022-10-24T04:01:21Z,1667077264,2022-10-29T21:01:04Z,1666990872,2022-10-28T21:01:12Z,,,,
enode://9ccf986bf3aa5f2db3e5c3e942541ea0f7a44798b51e71a38a26320c5079ab517f6a8f4e55a452b09182707922e004d023a44b93f5475e0ca2ed30dbad564d43@52.7.232.67:59943,7591b88f0e2fd583d7e92fc9cd2fb1c4bcf4fd3ed639dd821585d3ee94bba9de,CoreGeth/v1.12.8-stable-654bc751/linux-amd64/go1.18.3,eth/66,snap/1,159.203.56.33:30369,52.7.232.67:59943,true,false,false,2.8719502496781047e+21,0x7fd1bb25,0,0xabb68900af981fb38d8761f2c09f61242d7460c65356d384f2d172e3dc0dd819,66,1,52.7.232.67,ec2-52-7-232-67.compute-1.amazonaws.com,Ashburn,Virginia,US,United States,"39.0437,-77.4875","AS14618 Amazon.com, Inc.",20147,America/New_York,1666540882,2022-10-23T16:01:22Z,1667077264,2022-10-29T21:01:04Z,1667062868,2022-10-29T17:01:08Z,,,,
enode://fc23b384bded1cd05b2e99da842338aae4efc5ef02c3b0a1ecff9994c91494c99edb87f90cd1c9f73c0096ccbd48d7e012cc2cbf4239ab7b032ff38d7a4d2cb7@23.88.77.172:49022,8ccb462e1ced7aae53c44d258167deeff0b968a60c8b136973dab655ccd6f32d,CoreGeth/v1.12.8-stable-654bc751/linux-amd64/go1.18.3,eth/66,snap/1,159.203.56.33:30369,23.88.77.172:49022,true,false,false,2.871946373638621e+21,0x7fd1bb25,0,0x3e99027ea671854bbbd64be2391c6a7e5124f4a9536e85c50df954be3ef9ae03,66,1,23.88.77.172,static.172.77.88.23.clients.your-server.de,Falkenstein,Saxony,DE,Germany,"50.4779,12.3713",AS24940 Hetzner Online GmbH,08223,Europe/Berlin,1666584081,2022-10-24T04:01:21Z,1667077264,2022-10-29T21:01:04Z,1667055668,2022-10-29T15:01:08Z,,,,
enode://673c642c6bbe168385dbbce56b097ea8fa9c38bd3d754d478e2b8605626b1cc82f3b8024af23f577c16a387c147d99d9fa0eb53cf475faa0cdc2cd781266b789@221.223.31.19:47214,0ab5ead5ff2c0473825b18bed38b8f88145b6159828b6f2d1decb790c5f552cd,CoreGeth/v1.12.8-stable-654bc751/linux-amd64/go1.18.3,eth/66,snap/1,159.203.56.33:30369,221.223.31.19:47214,true,false,false,2.8719502496781047e+21,0x7fd1bb25,0,0xabb68900af981fb38d8761f2c09f61242d7460c65356d384f2d172e3dc0dd819,66,1,221.223.31.19,,Beijing,Beijing,CN,China,"39.9075,116.3972",AS4808 China Unicom Beijing Province Network,,Asia/Shanghai,1666576881,2022-10-24T02:01:21Z,1667077264,2022-10-29T21:01:04Z,1667077264,2022-10-29T21:01:04Z,,,,
enode://99b5a10b71f84fa11b357b1ecfffa7219b279863876843439da39b5d9c3a7759c958a9c99e4a156174f04ba04ce379b1cfc87ea9fa2ce00e529611e266801d00@185.197.162.25:46848,2e2aad6a00f45fdb68f2a52dcc2fea323bb65294da5390b07376b76b8dd6a46b,CoreGeth/v1.12.6-stable-20d20d72/linux-amd64/go1.17.6,eth/66,snap/1,159.203.56.33:30369,185.197.162.25:46848,true,false,false,2.871936687321411e+21,0x7fd1bb25,0,0xfe2f10b35f9b2aa302a93ddffccea82e0c5b826c4fdb6c3f916551481260b0d6,66,1,185.197.162.25,,Amsterdam,North Holland,NL,Netherlands,"52.3740,4.8897",AS60144 3W Infra B.V.,1012,Europe/Amsterdam,1666472482,2022-10-22T21:01:22Z,1667077265,2022-10-29T21:01:05Z,1667066471,2022-10-29T18:01:11Z,,,,
enode://02142dca913210eb20bbb43460d3c2c5b9903df4dda5cf3412aaa8f9a1698d2130aa3d1f855840c21d5e96be538f97fc2ebc03a9ef1a09ffd5388e0da6756bb6@167.172.149.137:46892,4a08336270de6d1314c416b5e6dd4637a8c0a278d6e4af74caf4f587df9a1fd0,CoreGeth/v1.12.8-stable-654bc751/linux-amd64/go1.18.3,eth/66,snap/1,159.203.56.33:30369,167.172.149.137:46892,true,false,false,2.871927000049121e+21,0x7fd1bb25,0,0x3b1e47fcb7056e490f9e27a1f6c34d7cf1e025ede2b730c1721e1b898e33fae2,66,1,167.172.149.137,,North Bergen,New Jersey,US,United States,"40.8043,-74.0121","AS14061 DigitalOcean, LLC",07047,America/New_York,1666558881,2022-10-23T21:01:21Z,1667077265,2022-10-29T21:01:05Z,1667048475,2022-10-29T13:01:15Z,,,,
enode://18b9f1f3b9a9d8ac3d6aa0ac2487e151ef87f600d8ca19f386fccafd99ac300a55b5ea6cf0ccfc80bc2b2577824313392509bd5319f40e148938d3b24a8cb94c@173.9.16.46:63933,806759891056438df3f4526c7f1e810731014a00fd336be5e8b22247cb1b77e9,CoreGeth/v1.12.7-stable-a374c2e8/linux-amd64/go1.18.2,eth/66,snap/1,159.203.56.33:30369,173.9.16.46:63933,true,false,false,2.8719502496781047e+21,0x7fd1bb25,0,0xabb68900af981fb38d8761f2c09f61242d7460c65356d384f2d172e3dc0dd819,66,1,173.9.16.46,16.9.173.46-new-england.hfc.comcastbusiness.net,Exeter,New Hampshire,US,United States,"42.9815,-70.9478","AS7922 Comcast Cable Communications, LLC",03833,America/New_York,1666882882,2022-10-27T15:01:22Z,1667077265,2022-10-29T21:01:05Z,1667066478,2022-10-29T18:01:18Z,,,,
